index,Proyeccion
2013-01,0.4457
2013-02,0.4282
2013-03,0.3972
2013-04,0.404
2013-05,0.4552
2013-06,0.5729
2013-07,0.6534
2013-08,0.6693
2013-09,0.5267
2013-10,0.4731
2013-11,0.3923
2013-12,0.3227
2014-01,0.3485
2014-02,0.4448
2014-03,0.7091
2014-04,0.7344
2014-05,0.6655
2014-06,0.6857
2014-07,0.7094
2014-08,0.6293
2014-09,0.5623
2014-10,0.5318
2014-11,0.3141
2014-12,0.2859
2015-01,0.3121
2015-02,0.2675
2015-03,0.2444
2015-04,0.2217
2015-05,0.3522
2015-06,0.4582
2015-07,0.3631
2015-08,0.301
2015-09,0.3159
2015-10,0.3106
2015-11,0.2407
2015-12,0.1861
2016-01,0.1977
2016-02,0.1837
2016-03,0.2543
2016-04,0.3829
2016-05,0.468
2016-06,0.3753
2016-07,0.4331
2016-08,0.5339
2016-09,0.3273
2016-10,0.244
2016-11,0.235
2016-12,0.2632
2017-01,0.2556
2017-02,0.3159
2017-03,0.3643
2017-04,0.343
2017-05,0.3929
2017-06,0.6087
2017-07,0.687
2017-08,0.5328
2017-09,0.3363
2017-10,0.2596
2017-11,0.2714
2017-12,0.2541
2018-01,0.2663
2018-02,0.2827
2018-03,0.3916
2018-04,0.3471
2018-05,0.2712
2018-06,0.5492
2018-07,0.6188
2018-08,0.3405
2018-09,0.436
2018-10,0.3482
2018-11,0.2399
2018-12,0.25
2019-01,0.2514
2019-02,0.2686
2019-03,0.2836
2019-04,0.4837
2019-05,0.4935
2019-06,0.5379
2019-07,0.5965
2019-08,0.5684
2019-09,0.5079
2019-10,0.3686
2019-11,0.2793
2019-12,0.2424
2020-01,0.2601
2020-02,0.2483
2020-03,0.252
2020-04,0.2491
2020-05,0.6247
2020-06,0.6109
2020-07,0.4229
2020-08,0.3861
2020-09,0.5579
2020-10,0.4808
2020-11,0.2783
2020-12,0.2317
2021-01,0.2429
2021-02,0.3492
2021-03,0.7969
2021-04,0.9
2021-05,0.9154
2021-06,1.0331
2021-07,1.1713
2021-08,1.3957
2021-09,0.9272534430868873
2021-10,0.91308784424573
2021-11,0.9157377760050059
2021-12,0.4196211931646194
2022-01,0.915070262554377
2022-02,0.9044882836999241
2022-03,0.9016013204813721
2022-04,1.0689201256348253
2022-05,1.0611914958471989
2022-06,0.5687257499536508
2022-07,0.44757765519883536
2022-08,0.5250083218943575
2022-09,1.2378483470371457
2022-10,1.2384055669809069
2022-11,1.2102009185828941
2022-12,1.2404082896538204
